Start to fetch stock prices history
1503_30m: False, MACD 趨勢不明
1503_15m: False, MACD 趨勢不明
1504_week: True, MACD 呈上升趨勢中回測
1504_day: False, MACD 趨勢不明
1504_month: False, MACD 趨勢不明
1504_60m: True, MACD 呈上升趨勢中回測
1504_30m: False, MACD 趨勢不明
1504_15m: False, MACD 趨勢不明
1506_week: False, MACD 趨勢不明
1506_day: True, MACD 呈上升趨勢
1506_month: True, MACD 呈上升趨勢
1506_60m: False, MACD 趨勢不明
1506_30m: False, MACD 趨勢不明
1506_15m: True, MACD 呈上升趨勢
1513_week: False, MACD 趨勢不明
1513_day: True, MACD 呈上升趨勢
1513_month: True, MACD 呈上升趨勢
1513_60m: False, MACD 趨勢不明
1513_30m: False, MACD 趨勢不明
1513_15m: False, MACD 趨勢不明
1514_week: False, MACD 趨勢不明
1514_day: False, MACD 趨勢不明
1514_month: True, MACD 呈上升趨勢
1514_60m: True, MACD 呈上升趨勢
1514_30m: False, MACD 趨勢不明
1514_15m: False, MACD 趨勢不明
1515_week: False, MACD 趨勢不明
1515_day: True, MACD 呈上升趨勢
1515_month: True, MACD 呈上升趨勢
1515_60m: False, MACD 趨勢不明
1515_30m: False, MACD 趨勢不明
1515_15m: False, MACD 趨勢不明
1516_week: False, MACD 趨勢不明
1516_day: True, MACD 呈上升趨勢
1516_month: False, MACD 趨勢不明
1516_60m: True, MACD 呈上升趨勢
1516_30m: False, MACD 趨勢不明
1516_15m: False, MACD 趨勢不明
1517_week: True, MACD 呈上升趨勢
1517_day: True, MACD 呈上升趨勢
1517_month: True, MACD 呈上升趨勢
1517_60m: True, MACD 呈上升趨勢
1517_30m: False, MACD 趨勢不明
1517_15m: False, MACD 趨勢不明
1521_week: False, MACD 趨勢不明
1521_day: True, MACD 呈上升趨勢
1521_month: True, MACD 呈上升趨勢
1521_60m: True, MACD 呈上升趨勢
1521_30m: False, MACD 趨勢不明
1521_15m: False, MACD 趨勢不明
1522_week: False, MACD 趨勢不明
1522_day: True, MACD 呈上升趨勢
1522_month: True, MACD 呈上升趨勢
1522_60m: False, MACD 趨勢不明
1522_30m: False, MACD 趨勢不明
1522_15m: True, MACD 呈上升趨勢
1524_week: True, MACD 呈上升趨勢
1524_day: True, MACD 呈上升趨勢
1524_month: False, MACD 趨勢不明
1524_60m: False, MACD 趨勢不明
1524_30m: False, MACD 趨勢不明
1524_15m: True, MACD 呈上升趨勢
1525_week: False, MACD 趨勢不明
1525_day: True, MACD 呈上升趨勢
1525_month: True, MACD 呈上升趨勢
1525_60m: True, MACD 呈上升趨勢
1525_30m: True, MACD 呈上升趨勢中回測
1525_15m: True, MACD 呈上升趨勢中回測
1526_week: True, MACD 呈上升趨勢
1526_day: True, MACD 呈上升趨勢
1526_month: False, MACD 趨勢不明
1526_60m: True, MACD 呈上升趨勢
1526_30m: False, MACD 趨勢不明
1526_15m: False, MACD 趨勢不明
1527_week: False, MACD 趨勢不明
1527_day: True, MACD 呈上升趨勢
1527_month: True, MACD 呈上升趨勢
1527_60m: False, MACD 趨勢不明
1527_30m: True, MACD 呈上升趨勢中回測
1527_15m: False, MACD 趨勢不明
1528_week: False, MACD 趨勢不明
